artist,album_title,album_cover,year_released,billboard_200_position,uk_top_40_position
The Rolling Stones,Story of The Stones,https://i.discogs.com/CZrjnxIFpTsevM06w8tGab9-BKaycQRzDX4cK02Wuj4/rs:fit/g:sm/q:90/h:426/w:427/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyNjM0/OS0xMzc3NzA3NTk0/LTUyNjcuanBlZw.jpeg,1982,0,24
The Rolling Stones,Undercover,https://cdn.hmv.com/r/w-1280/hmv/files/57/5702bd8b-1846-4c68-a33d-dc66c04524fb.jpg,1983,3,4
The Rolling Stones,Rewind (1971–1984),https://i.discogs.com/r_fYmmO8nAJ-86GUH_-d12yAi0dZ-FYL0vtvQrBzflI/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMzE3/Ni0xNDQ4NTQ4MTYz/LTE4MDkuanBlZw.jpeg,1984,86,23
The Rolling Stones,Dirty Work,https://cdn.hmv.com/r/w-1280/hmv/files/a0/a07d8782-4e25-4254-ba73-5643b8d3fd49.jpg,1986,4,4
The Rolling Stones,Steel Wheels,https://cdn.hmv.com/r/w-1280/hmv/files/f5/f5420819-506f-428f-9bfb-fe96517f8e27.jpg,1989,2,3
The Rolling Stones,Singles Collection: The London Years,https://i.discogs.com/fD3v24wRzcatOVignYAhYFMlSM3IZqKgdJjXlVvz8V4/rs:fit/g:sm/q:90/h:515/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkxMzY4/MTctMTQ3NjU1MDM3/OC01MDY1LmpwZWc.jpeg,1989,91,138
The Rolling Stones,Flashpoint,https://i.discogs.com/N9dyPHBZXkZ55AyUsaFcuacbWQdhNxNORP6lnmaVtE8/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MjYx/MS0xNjk3NjQ0MTY5/LTQwODMuanBlZw.jpeg,1991,16,6
The Rolling Stones,Jump Back: The Best of The Rolling Stones,https://i.discogs.com/DgZuM_hPMiiRNrXAom5cYCVKYe1DARTl8e5oM6DWGqQ/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NTQx/NjMyLTE2NzE4MTI4/OTQtNjIxMy5qcGVn.jpeg,1993,30,16
The Rolling Stones,Voodoo Lounge,https://cdn.hmv.com/r/w-1280/hmv/files/f3/f32db1ba-7442-4020-82e9-5c987664952b.jpg,1994,1,2
The Rolling Stones,Stripped,https://ronniewood.com/wp-content/uploads/2016/10/stripped-600x589.jpg,1995,9,9
The Rolling Stones,The Rolling Stones Rock and Roll Circus,https://i.discogs.com/ahZk3Am78H4-APF3fGlCPef0i4oT1iwGRJgbv3M7LA0/rs:fit/g:sm/q:90/h:525/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyNDY0/My0xMzc2NzM2MjQy/LTkzMTkuanBlZw.jpeg,1996,92,0
The Rolling Stones,Bridges to Babylon,https://i.discogs.com/ieDADRf2q9t6yL9jQv_G2V9NQ9f3nOkQ_R6FX2C1lQQ/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2Nzkw/MjMtMTYwNTkwMzMz/OS00MDQ2LmpwZWc.jpeg,1997,6,3
The Rolling Stones,No Security,https://i.discogs.com/mLoiEIEhfS8u90_CoOfkl3mIDjkPxVIwfc3TKmPIzoU/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MjYy/Ni0xNDQ2MzcxNzg5/LTk3ODQuanBlZw.jpeg,1998,34,67
The Rolling Stones,Live Licks,https://i.discogs.com/yQI6MNefBWSJ3F_Jlzjo-jP1fXCQkb51rHJrkUdD6IY/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDk4/NjQtMTQ1NjQ1Njgx/Mi0zMTM1LmpwZWc.jpeg,2004,50,38
The Rolling Stones,A Bigger Bang,https://cdn.hmv.com/r/w-1280/hmv/files/0b/0bb309f7-d710-41ec-bf32-b266f914ba9f.jpg,2005,2,3
The Rolling Stones,Shine a Light,https://i.discogs.com/8GyJ5zNii-3vIBMVLDxJ59Fm2iwMB8uSFrUfyvw9YQ0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzODMz/MTUtMTIxNDkwOTQy/My5qcGVn.jpeg,2008,11,2
The Rolling Stones,Brussels Affair (Live 1973),https://i.discogs.com/ebLk-xpwNCqYmOnImUkVKXt9HwKLguN-1rPZPAcuSuE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyMzg1/MjUtMTc0ODA3OTM2/Ni03NjE3LmpwZWc.jpeg,2011,0,0
The Rolling Stones,Some Girls: Live in Texas '78,https://cdn.hmv.com/r/w-1280/hmv/files/46/469766d4-0628-48f1-a371-110354ef81df.jpg,2011,0,0
The Rolling Stones,Hampton Coliseum (Live 1981),https://i.discogs.com/cJVUit45Cq-NzGifSy0CrNGm-VXw98DezCjWL3eky78/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYyNjUw/ODItMTQ1MDMzOTUx/Mi04NTk2LmpwZWc.jpeg,2012,0,120
The Rolling Stones,L.A. Friday (Live 1975),https://i.discogs.com/wLzp6Sl7gsqbpXutilUEOSVfw1VXk4hKKMd9gLYmm58/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTA2/MjUtMTMzNDkyODE5/NC5qcGVn.jpeg,2012,0,0
The Rolling Stones,"Live at the Checkerboard Lounge, Chicago 1981",https://i.discogs.com/RoQ515OOG0enrRo0mFBIA0a-8dBkhl9-vP6vnUPyzvs/rs:fit/g:sm/q:90/h:600/w:424/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4NTg5/MTktMTQzMTI0MTU0/Ni05NDMwLmpwZWc.jpeg,2012,0,0
The Rolling Stones,Live at the Tokyo Dome (Live 1990),https://i.discogs.com/-qnsbh9aqyQtzCERoYjobX6CgG2AAobOZX-0Ibqo9ac/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3Mjkx/ODItMTM0MjAyMTY2/MC0xNDE1LmpwZWc.jpeg,2012,0,0
The Rolling Stones,Light the Fuse (Live 2005),https://i.discogs.com/Lqik4uXckt3N9OhhFm0IJooJfoZ_vI0bk9j9EwTvIkA/rs:fit/g:sm/q:90/h:533/w:550/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwOTI4/NDEtMTM1NTA2NDk5/My05MDM2LmpwZWc.jpeg,2012,0,0
The Rolling Stones,Live at Leeds (Live 1982),https://i.discogs.com/1IBWSytnsMhsp9E6RWVzfKLn3TAnp_xkEWjDslG-XC0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwNTM4/MjEtMTM1MzY5ODQ4/MS01MDQ2LmpwZWc.jpeg,2012,0,0
The Rolling Stones,Sweet Summer Sun,https://i.discogs.com/9MS27b_1OMLqr8cTo_e12JIXih77pZmhteeUaPYHIos/rs:fit/g:sm/q:90/h:567/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwOTMx/NDctMTM4NDM1OTUy/OC0xNjgzLmpwZWc.jpeg,2013,19,16
The Rolling Stones,Live 1965: Music From Charlie Is My Darling,https://i.discogs.com/D9B0uhYZBSK4GhlvLI-8nUg-_g0th4E4_6-qCkeOqGo/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwOTQ4/MzktMTYxMjM1Nzc4/Mi04Mjk5LmpwZWc.jpeg,2014,0,0
The Rolling Stones,The Marquee Club Live in 1971 (From the Vault Collection),https://i.discogs.com/-XCeZDm3j7JgiHxlu2pl2zSOvxai0D9qIv_uHYcOGc4/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxNDUx/MDYtMTQzNTA3MTEx/My01NzA3LmpwZWc.jpeg,2015,0,0
The Rolling Stones,Sticky Fingers Live,https://ronniewood.com/wp-content/uploads/2016/10/Sticky-Live-packshot1-600x600.jpg,2015,92,149
The Rolling Stones,Totally Stripped,https://i.discogs.com/WIAlfX1vdWGJBoAGD6K0-T88dHAK79Q19VBX8yjgmBI/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2MDMy/NzUtMTQ2NjI3MDcx/MC0xMjQ4LmpwZWc.jpeg,2016,0,198
The Rolling Stones,Havana Moon,https://i.discogs.com/N8VzLaCDBFcg7_vmJ7ueu7SSqYqjryyBHeGyZYyuIcs/rs:fit/g:sm/q:90/h:571/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzMzU3/NjMtMTc0MDU5Nzcy/OC00ODY5LmpwZWc.jpeg,2016,0,0
The Rolling Stones,Blue & Lonesome,https://i.discogs.com/ahxgHmpxYrT7Na0rJ5SmmzvjTMcaMoMSRggbC5pHaEM/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk0Mzc4/ODYtMTU5Mzk1ODM2/MS0xMDQ2LmpwZWc.jpeg,2016,1,4
The Rolling Stones,Ladies & Gentlemen: The Rolling Stones,https://i.discogs.com/9jMvgEZ2aWJ1xeloyDNIXHnVBi0d0q51TbkONYxAboE/rs:fit/g:sm/q:90/h:600/w:460/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1NzU2/ODctMTU3MTMyNjUy/OS0zMDg1LmpwZWc.jpeg,2017,0,0
